File	Clade	N taxa (informative)	p(A)	p(C)	p(G)	p(T|U)	p(AT)	p(Purine)	p(Pyrimidine)	csRCFV (A)	csRCFV (C)	csRCFV (G)	csRCFV (T|U)	csRCFV (AT)	csRCFV (Purine)	csRCFV (Pyrimidine)	Skew (A-G)	Skew (C-T)	Skew (A-T)	Skew (G-C)	Chi-square value	Degrees of freedom	p-value	RCFV Value	c-value	Mean p-distances	Mean ti/tv	Std. Deviation p-distances	Std. Deviation ti/tv	p(Sites)	p(Gap)	p(Ambiguity)	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(State)	p_inv(Class)
locus_0065	0 All_Taxa	30	0.2045	0.2363	0.361	0.1982	0.4027	0.5655	0.4345	0.0147	0.0166	0.0123	0.0163	0.0269	0.0109	0.0109	-0.28	0.09	0.02	0.21	77.68797	87	0.75232	0.0601	1670.11206061414	0.791139172197939	5.92908023433322	0.057379812237122	95.8307164529923	0.9728	0.0272	0	0.0014	0.0000	0.2704	0.3850	0.5728
locus_0066	0 All_Taxa	34	0.3232	0.1997	0.3524	0.1247	0.4479	0.6756	0.3244	0.0120	0.0162	0.0189	0.0170	0.0244	0.0154	0.0154	-0.04	0.23	0.44	0.28	57.80049	99	0.99969	0.0642	9.16142553109773	0.749084775650241	1.3360936631073	0.0824077709334011	0.754972656590114	0.8283	0.1467	0.025	0.0070	0.0304	0.2960	0.2043	0.2796
locus_0067	0 All_Taxa	38	0.3001	0.2771	0.266	0.1568	0.457	0.5661	0.4339	0.0346	0.0320	0.0277	0.0190	0.0511	0.0226	0.0226	0.06	0.28	0.31	-0.02	203.89857	111	0.00000020237	0.1132	986.056730155981	0.745344028238765	3.88840935115158	0.0764592975644579	75.3932049464325	0.9990	0	0.001	0.0000	0.0018	0.0509	0.2593	0.4213
locus_0068	0 All_Taxa	36	0.2426	0.283	0.289	0.1854	0.428	0.5316	0.4684	0.0177	0.0223	0.0162	0.0167	0.0289	0.0140	0.0140	-0.09	0.21	0.13	0.01	62.60113	105	0.99966	0.0723	693.576697742999	0.798124941984591	2.78661997131919	0.0573791885416139	39.7968681078654	0.9610	0.039	0	0.0070	0.0000	0.1351	0.3684	0.5380
locus_0069	0 All_Taxa	39	0.3014	0.2675	0.2723	0.1588	0.4602	0.5737	0.4263	0.0199	0.0159	0.0246	0.0195	0.0312	0.0177	0.0177	0.05	0.25	0.31	0.01	104.35835	114	0.73015	0.0798	3.92106160802444	0.692288133935731	1.27308008296216	0.143533444358214	0.562803478140505	0.8757	0.1237	0.0006	0.0925	0.0010	0.1462	0.1957	0.3116
locus_0070	0 All_Taxa	27	0.1667	0.4761	0.1718	0.1855	0.3521	0.3384	0.6616	0.0067	0.0112	0.0104	0.0086	0.0126	0.0090	0.0090	-0.02	0.44	-0.05	-0.47	37.18331	78	0.99998	0.0372	6.2701034184865	0.727883702242677	1.19000492398358	0.117363515598604	0.7358813803604	0.8318	0.1669	0.0014	0.0551	0.0014	0.4386	0.1538	0.2344
locus_0071	0 All_Taxa	39	0.3337	0.2119	0.3004	0.154	0.4877	0.6341	0.3659	0.0138	0.0177	0.0107	0.0144	0.0231	0.0125	0.0125	0.05	0.16	0.37	0.17	94.93609	114	0.90254	0.0563	888.296887271419	0.75557863958141	5.08853769513338	0.124024004541459	110.170137181114	0.8015	0.1985	0	0.0498	0.0000	0.2186	0.0000	0.0022
locus_0072	0 All_Taxa	39	0.1954	0.329	0.2557	0.2199	0.4153	0.4512	0.5488	0.0193	0.0295	0.0155	0.0256	0.0407	0.0143	0.0143	-0.13	0.20	-0.06	-0.13	137.41344	114	0.066903	0.09	450.378618523141	0.73643212217496	3.7153453289975	0.163053296243229	73.4357183076699	0.9649	0	0.0351	0.0000	0.0631	0.0592	0.1139	0.1603
locus_0073	0 All_Taxa	34	0.1751	0.3115	0.2402	0.2732	0.4483	0.4153	0.5847	0.0169	0.0317	0.0138	0.0235	0.0389	0.0131	0.0131	-0.16	0.07	-0.22	-0.13	205.01802	99	0.0000000021704	0.0861	9.91734599595581	0.77676724306179	1.12952270541092	0.0539812351651756	0.535350586422104	0.9903	0.0097	0.0001	0.0033	0.0001	0.1583	0.3747	0.5474
locus_0074	0 All_Taxa	37	0.2114	0.2976	0.2865	0.2046	0.416	0.4978	0.5022	0.0221	0.0261	0.0190	0.0220	0.0354	0.0117	0.0117	-0.15	0.19	0.02	-0.02	217.79764	108	0.0000000024246	0.0894	2.55386563079176	0.604056151960344	0.96324514642791	0.160647293808877	0.410271602338196	0.8147	0.1848	0.0005	0.1351	0.0008	0.2464	0.0479	0.0838
locus_0075	0 All_Taxa	39	0.3191	0.2486	0.2814	0.1509	0.47	0.6005	0.3995	0.0305	0.0376	0.0239	0.0283	0.0557	0.0236	0.0236	0.06	0.24	0.36	0.06	293.88663	114	0.000000000000000014442	0.1203	313.726814959163	0.622517413023089	2.30333366725804	0.116990217156076	36.7029682097567	0.6607	0.3393	0.0001	0.1267	0.0001	0.3558	0.0000	0.0000
locus_0076	0 All_Taxa	35	0.1918	0.2603	0.2957	0.2522	0.444	0.4875	0.5125	0.0146	0.0223	0.0158	0.0208	0.0336	0.0077	0.0077	-0.21	0.02	-0.14	0.06	208.17213	102	0.0000000033540	0.0737	3.50041242712613	0.696127339824819	0.970307541359894	0.0879483067946949	0.307855346048852	0.9818	0.0054	0.0128	0.0007	0.0204	0.1410	0.1323	0.2222
locus_0077	0 All_Taxa	38	0.2431	0.3013	0.2525	0.2031	0.4462	0.4956	0.5044	0.0225	0.0271	0.0223	0.0257	0.0470	0.0081	0.0081	-0.02	0.19	0.09	-0.09	328.08473	111	0.000000000000000000000076163	0.0972	2.09676000963135	0.601569908724514	1.1180112494855	0.215608429514399	0.452079132745212	0.8358	0.1642	0	0.1785	0.0000	0.2060	0.0000	0.0000
locus_0078	0 All_Taxa	36	0.2457	0.2883	0.2705	0.1954	0.4412	0.5163	0.4837	0.0170	0.0167	0.0170	0.0130	0.0267	0.0121	0.0121	-0.05	0.19	0.11	-0.03	210.94117	105	0.0000000048247	0.0635	1.93150307686323	0.611420828493999	0.986108213132301	0.149134010555053	0.288052800252039	0.5997	0.4002	0.0001	0.1494	0.0002	0.4603	0.0163	0.0252
locus_0079	0 All_Taxa	38	0.2684	0.2453	0.3248	0.1615	0.43	0.5932	0.4068	0.0229	0.0225	0.0287	0.0268	0.0471	0.0122	0.0122	-0.10	0.21	0.25	0.14	623.5935	111	0.000000000000000000000000000000000000000000000000000000000000000000026172	0.1009	272.948318905343	0.642427274006221	2.48859238144919	0.13803978768583	37.6777279908978	0.5461	0.4539	0	0.1447	0.0000	0.4812	0.0000	0.0000
locus_0080	0 All_Taxa	32	0.259	0.2797	0.2777	0.1836	0.4426	0.5367	0.4633	0.0185	0.0238	0.0122	0.0168	0.0315	0.0152	0.0152	-0.03	0.21	0.17	-0.00	84.7445099999999	93	0.71734	0.0712	738.564213429859	0.734169653524492	2.964322312071	0.060739213615749	44.8598095284638	0.9979	0.002	0.0002	0.0031	0.0003	0.2017	0.2487	0.4074
locus_0081	0 All_Taxa	36	0.2609	0.2989	0.24	0.2002	0.4611	0.5009	0.4991	0.0301	0.0226	0.0141	0.0206	0.0316	0.0261	0.0261	0.04	0.20	0.13	-0.11	111.8561	105	0.30531	0.0874	2620.00396037772	0.747308306038465	11.1319116178345	0.0912148469333745	238.983260210689	0.9888	0.0097	0.0015	0.0121	0.0026	0.1101	0.3598	0.5767
locus_0082	0 All_Taxa	40	0.2408	0.2774	0.2642	0.2177	0.4584	0.505	0.495	0.0256	0.0227	0.0220	0.0220	0.0391	0.0109	0.0109	-0.05	0.12	0.05	-0.02	143.05187	117	0.051142	0.0923	1816.29968691953	0.773235937189426	8.02519478793828	0.09853667962767	178.972140357827	0.9140	0.086	0	0.0163	0.0000	0.0860	0.2326	0.3527
locus_0083	0 All_Taxa	39	0.1789	0.323	0.2495	0.2486	0.4275	0.4284	0.5716	0.0167	0.0292	0.0201	0.0263	0.0385	0.0132	0.0132	-0.16	0.13	-0.16	-0.13	109.98918	114	0.58887	0.0923	6.00121984245404	0.764622625983345	1.33008521695635	0.105369739167998	0.632346969489198	0.8255	0.1745	0	0.0432	0.0000	0.1951	0.1057	0.1626
locus_0084	0 All_Taxa	34	0.255	0.2629	0.314	0.1681	0.4231	0.569	0.431	0.0225	0.0228	0.0213	0.0216	0.0385	0.0149	0.0149	-0.10	0.22	0.21	0.09	143.12809	99	0.0024852	0.0884	372.925375871146	0.664221399515517	3.09830494669782	0.113074274053983	42.1682661529385	0.9563	0.0026	0.0411	0.0041	0.0617	0.1872	0.0726	0.1453
locus_0085	0 All_Taxa	38	0.2089	0.317	0.2082	0.2658	0.4748	0.4171	0.5829	0.0166	0.0214	0.0171	0.0193	0.0310	0.0093	0.0093	0.00	0.09	-0.12	-0.21	84.85125	111	0.96922	0.0748	11.2509010567149	0.810959342348055	1.40782360552102	0.0444810612687257	0.500452019232104	0.9975	0	0.0025	0.0000	0.0045	0.0524	0.3735	0.5743
locus_0086	0 All_Taxa	32	0.2671	0.2367	0.3269	0.1693	0.4364	0.594	0.406	0.0225	0.0135	0.0281	0.0119	0.0284	0.0119	0.0119	-0.10	0.17	0.22	0.16	118.17234	93	0.040122	0.0761	3.34429197941574	0.695445570463412	1.18252520020275	0.0814148800423782	0.27227513033082	0.7790	0.221	0	0.0233	0.0000	0.3768	0.1593	0.2212
locus_0087	0 All_Taxa	32	0.1644	0.3769	0.1944	0.2644	0.4287	0.3587	0.6413	0.0208	0.0299	0.0216	0.0234	0.0372	0.0223	0.0223	-0.08	0.18	-0.23	-0.32	141.81519	93	0.00084016	0.0957	4.00439358043317	0.664566532258065	0.880180015705514	0.10403922109046	0.416613989047907	0.9401	0.0256	0.0343	0.0031	0.0444	0.2479	0.0602	0.1250
locus_0088	0 All_Taxa	28	0.2166	0.2974	0.2289	0.2571	0.4737	0.4455	0.5545	0.0117	0.0164	0.0111	0.0166	0.0255	0.0076	0.0076	-0.03	0.07	-0.09	-0.13	204.62125	81	0.0000000000011414	0.0557	1.8446612450521	0.565501897657375	0.897690411052837	0.16849245631261	0.310811504243505	0.8906	0.1082	0.0013	0.0921	0.0015	0.3766	0.0130	0.0342
locus_0089	0 All_Taxa	32	0.339	0.2184	0.2733	0.1693	0.5082	0.6123	0.3877	0.0183	0.0179	0.0131	0.0123	0.0231	0.0148	0.0148	0.11	0.13	0.33	0.11	155.49925	93	0.000052268	0.0615	2.37176723066371	0.670923727850977	0.997546028497015	0.101528538736589	0.240802061152613	0.6475	0.3525	0	0.0570	0.0000	0.4820	0.0552	0.0915
locus_0090	0 All_Taxa	39	0.2	0.3159	0.2736	0.2106	0.4106	0.4735	0.5265	0.0165	0.0307	0.0171	0.0260	0.0404	0.0125	0.0125	-0.16	0.20	-0.03	-0.07	433.11544	114	0.00000000000000000000000000000000000018488	0.0904	2.23820107978803	0.52035023036055	1.11306570405444	0.254391934375105	0.569380302207727	0.7226	0.2773	0.0001	0.2820	0.0001	0.2955	0.0000	0.0000
locus_0091	0 All_Taxa	34	0.186	0.2917	0.2825	0.2397	0.4258	0.4685	0.5315	0.0137	0.0190	0.0168	0.0179	0.0269	0.0111	0.0111	-0.21	0.10	-0.13	-0.02	71.68301	99	0.98244	0.0673	1214.53297111221	0.793037325122887	4.7461175598719	0.0694866536145631	84.3938318671404	0.9964	0	0.0036	0.0000	0.0057	0.1530	0.3384	0.4899
locus_0092	0 All_Taxa	31	0.2384	0.3077	0.2887	0.1653	0.4036	0.527	0.473	0.0159	0.0149	0.0164	0.0129	0.0257	0.0104	0.0104	-0.10	0.30	0.18	-0.03	65.37255	90	0.97644	0.0602	5.70767802613977	0.750977299880526	0.884255013884838	0.064022126102449	0.365417682341698	0.9864	0.0133	0.0003	0.0000	0.0004	0.2356	0.2533	0.4533
locus_0093	0 All_Taxa	38	0.225	0.3342	0.1999	0.2409	0.4659	0.4248	0.5752	0.0250	0.0299	0.0225	0.0291	0.0500	0.0111	0.0111	0.06	0.16	-0.03	-0.25	146.37338	111	0.013776	0.1063	9.10667061743686	0.74866402675791	1.39605170871489	0.0611517004642924	0.556888393824472	0.9953	0.0004	0.0044	0.0007	0.0079	0.0545	0.2477	0.4505
locus_0094	0 All_Taxa	38	0.2705	0.2871	0.2887	0.1538	0.4242	0.5592	0.4408	0.0218	0.0221	0.0191	0.0183	0.0387	0.0103	0.0103	-0.03	0.30	0.28	0.00	94.97843	111	0.86146	0.0811	1505.49400220574	0.802596171017224	8.29594138088314	0.125231632123552	188.535471048444	0.9683	0	0.0317	0.0000	0.0530	0.0801	0.0476	0.0563
locus_0095	0 All_Taxa	37	0.2705	0.3035	0.2542	0.1718	0.4423	0.5248	0.4752	0.0250	0.0203	0.0285	0.0235	0.0420	0.0141	0.0141	0.03	0.28	0.22	-0.09	139.31418	108	0.022860	0.0973	1107.74790278282	0.731483864817198	5.63267769284822	0.104902057585106	116.205034287505	0.7088	0.2906	0.0006	0.0536	0.0010	0.3444	0.1714	0.2444
locus_0096	0 All_Taxa	39	0.2585	0.2338	0.2991	0.2087	0.4671	0.5576	0.4424	0.0181	0.0243	0.0199	0.0208	0.0345	0.0149	0.0149	-0.07	0.06	0.11	0.12	62.3072	114	0.99998	0.0827	17.7816919739493	0.790243414804818	1.25869033245453	0.0524705490407839	0.93301514074722	0.9994	0.0006	0	0.0011	0.0000	0.0256	0.3926	0.5630
locus_0097	0 All_Taxa	30	0.2065	0.2638	0.3422	0.1875	0.394	0.5486	0.4514	0.0113	0.0106	0.0124	0.0107	0.0200	0.0076	0.0077	-0.25	0.17	0.05	0.13	62.11234	87	0.97994	0.0449	10.3027908973243	0.789130677379757	1.40387143406107	0.10678369403598	1.10017007089655	0.8427	0.1573	0	0.0316	0.0000	0.3680	0.1392	0.2233
locus_0098	0 All_Taxa	30	0.2345	0.2717	0.3621	0.1316	0.3662	0.5967	0.4033	0.0224	0.0182	0.0208	0.0125	0.0344	0.0089	0.0089	-0.21	0.35	0.28	0.14	124.93355	87	0.0048165	0.0738	3.28032566726803	0.656452186277995	1.23576598454456	0.165874873870593	0.544123606312555	0.9304	0.0134	0.0562	0.0079	0.0663	0.3022	0.0069	0.0172
locus_0099	0 All_Taxa	34	0.2111	0.2714	0.3495	0.168	0.3791	0.5606	0.4394	0.0197	0.0170	0.0224	0.0182	0.0340	0.0108	0.0108	-0.25	0.24	0.11	0.13	173.04964	99	0.0000060297	0.0773	2.82569246291241	0.665478312537136	0.944246975350742	0.20177506333234	0.570154275661869	0.8063	0.1078	0.0859	0.0189	0.1192	0.3146	0.0000	0.0000
locus_0100	0 All_Taxa	33	0.3737	0.1711	0.309	0.1461	0.5198	0.6828	0.3172	0.0206	0.0105	0.0143	0.0141	0.0212	0.0163	0.0163	0.09	0.08	0.44	0.29	85.93697	96	0.75951	0.0595	3.21389018619474	0.716496431981507	1.02882685996183	0.078312754300339	0.251688592499739	0.5456	0.4544	0	0.0497	0.0000	0.5499	0.0531	0.0978
